"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 19:45:21 GMT 2024","Sat Aug 17 19:45:21 GMT 2024","531","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Password",""
"passed","Sat Aug 17 19:45:23 GMT 2024","Sat Aug 17 19:45:24 GMT 2024","532","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Video Test",""
"passed","Sat Aug 17 19:45:23 GMT 2024","Sat Aug 17 19:45:24 GMT 2024","331","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Data Test",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:23 GMT 2024","448","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Documents Test",""
"passed","Sat Aug 17 19:45:20 GMT 2024","Sat Aug 17 19:45:20 GMT 2024","594","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate multiple interactions element",""
"passed","Sat Aug 17 19:45:23 GMT 2024","Sat Aug 17 19:45:24 GMT 2024","523","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Video Test",""
"passed","Sat Aug 17 19:45:20 GMT 2024","Sat Aug 17 19:45:20 GMT 2024","526","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Credentials",""
"passed","Sat Aug 17 19:45:20 GMT 2024","Sat Aug 17 19:45:20 GMT 2024","569","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Username",""
"passed","Sat Aug 17 19:45:18 GMT 2024","Sat Aug 17 19:45:19 GMT 2024","1089","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Dismissed Initial Page Validation",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:23 GMT 2024","568","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Images Test",""
"passed","Sat Aug 17 19:45:20 GMT 2024","Sat Aug 17 19:45:20 GMT 2024","173","tests.scripts.login","test_valid_login","TestSuccessLogin","","","User password is masked by dot",""
"passed","Sat Aug 17 19:45:21 GMT 2024","Sat Aug 17 19:45:22 GMT 2024","684","tests.scripts.login","test_valid_login","TestSuccessLogin","","","Successful Login with Correct Credentials",""
"passed","Sat Aug 17 19:45:21 GMT 2024","Sat Aug 17 19:45:21 GMT 2024","350","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Empty Field",""
"passed","Sat Aug 17 19:45:21 GMT 2024","Sat Aug 17 19:45:22 GMT 2024","595","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Uploader Page contains the correct components",""
"passed","Sat Aug 17 19:45:19 GMT 2024","Sat Aug 17 19:45:19 GMT 2024","200","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate the additional element after click on the Add button",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:23 GMT 2024","429","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Images Test",""
"passed","Sat Aug 17 19:45:21 GMT 2024","Sat Aug 17 19:45:21 GMT 2024","170","tests.scripts.login","test_valid_login","TestSuccessLogin","","","Username input is not masked by dot",""
"passed","Sat Aug 17 19:45:19 GMT 2024","Sat Aug 17 19:45:19 GMT 2024","101","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate the additional element after click on the Add button",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:22 GMT 2024","255","tests.scripts.upload","test_invalid_file_upload","TestFailUploadBySelect","","","No File Upload Error Validation",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:23 GMT 2024","558","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Documents Test",""
"passed","Sat Aug 17 19:45:23 GMT 2024","Sat Aug 17 19:45:23 GMT 2024","385","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Data Test",""
"passed","Sat Aug 17 19:45:22 GMT 2024","Sat Aug 17 19:45:22 GMT 2024","486","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","Successful File Upload Validation",""
